hint_1|Du kan beordra dina soldater att flytta sig till en punkt genom att trycka ned F1-tangenten.
hint_2|Hästar och mannar rör sig långsammare när det regnar.
hint_3|Du kan vänta på världskartan genom att hålla ned blankstegstangenten.
hint_4|Du kan rekrytera mannar till din grupp i värdshus.
hint_5|Du kan ge order till dina gruppmedlemmar under strid.
hint_6|En grupp med hög moral rör sig snabbare vid färd på världskartan.
hint_7|Skadade gruppmedlemmar läker sig snabbare under vila i värdshus.
hint_8|För att köpa och sälja föremål i inventariemenyn snabbt, håll ned Ctrl och vänsterklicka.
hint_9|Tryck på tangenten backsteg under stid för att få fram kommandgränssnittet.
hint_10|Du betalar hälften i lön åt dina soldater medans du är stationerad i en stad eller slott. På samma sätt betalar du hälften i lön åt soldater du stationerar i ett slott utan att du behöver närvara.
hint_11|Du kan lämna en plats omedelbart genom att trycka på TAB-tangenten,
hint_12|Du kan hålla ned skifttangenten för att zooma in medans du siktar på fiender.
